用户,是否看过,评分,评论时间,有用数,评论
同志亦凡人中文站,看过,推荐,2019-08-11 21:28:20,59,格鲁吉亚最好的同志电影，舞影随行+爆裂鼓手+女孩。传统民族舞要求阳刚，男主偏偏反其道而行。他的温柔脆弱、天真率性让人看完就会爱上。电影不仅是关于性取向，也是在用舞蹈挑战世俗男权，虽然主题偏沉重，但画面明亮得像打翻调色盘。PS一定要表白男主，满满的少年气啊，居然从没演过戏…
Mr. Infamous,看过,推荐,2019-11-08 22:54:52,44,有些人的生命，是被另一个人突然激活的。Irakli走进舞室的时候，Merab不知道自己找到了自己。思慕一个人，他的侧影就是名胜，他衣服的味道就是鼻翼里的风情，他的饰物即便没被公允，也像是定情了一样，而那夜温热的身体遮天蔽日地覆盖过来，他就是比光还要恒久的真理。黄灿灿的灯光穿过墙体打过来，那截舞蹈散发的传奇，奈何总是不经算。等到所谓阳刚至极的格鲁吉亚舞，被他跳得灵动与暧昧，那不被权威认可的舞步，终于凌驾了规矩与世俗。舞蹈真好，言辞匮乏了，也有它知冷知暖地细述。四星半。@爱酷电影周，《请给我一双舞鞋》放映取消，好遗憾。
LORENZO 洛伦佐,看过,推荐,2019-10-11 03:40:55,32,今年的《女孩》，运镜优美流畅，故事老套却真诚，表演更是自然动人。两个小哥哥都温柔可爱极了，笑起来格鲁吉亚举国的阳刚之气都要融化，男主角更是宝，是今年的Elio，一颦一笑都是戏，还是个素人。但万万没想到全片最大泪点居然是他哥😅
释迦尼莫,看过,推荐,2019-10-19 10:06:42,32,都说年少时的爱最珍贵，因为满眼、满心都是你，为你笑为你哭，为你饱含勇气。
锐利修蕊,看过,力荐,2019-11-08 23:15:16,30,四星半，但不知道那半颗星扣在哪里。对标去年的《涂样人生》显得更加动容，像是一瓶准备陈酿的新酒，处处都是快要被品尝醇厚和濒临爆炸的界点。虽然是一场格鲁吉亚《爱上插班生》的习作，但陪着主角又经历了一次恋爱喜悦的心碎之旅真是奇妙，就是“还耳钉”的抉择太酷了，让我不禁要佩服他“告别多保重”戏演的洒脱，毕竟上一秒还是看到那个会蜷缩在床上，深吸喜欢的人留下味道的自己。几场放大声音的戏都很出色，除此之外最喜欢男主被替他挨打哥哥摸摸头的时刻，然后这部电影也喜获“本年度最佳独舞结尾电影”，恭喜涛涛后继有人！
M & R,看过,还行,2019-05-17 05:01:30,39,ʕ•̫͡•ʕ*̫͡*ʕ•͓͡•ʔ-̫͡-ʕ•̫͡•ʔ*̫͡*ʔ-̫͡-ʔ，【Cannes72】
胤祥,看过,推荐,2019-05-17 07:56:52,13,#72nd Cannes# 双周。在瑞典出生和工作的格鲁吉亚裔导演列万·阿金的第二部作品，也是他第一次回到格鲁吉亚拍片。实际上这部影片是一部……瑞典电影。虽说不免要拿来跟去年的爆款《女孩》相比较，不过本片在剧作上要复杂一些。格鲁吉亚民族舞蹈和混声合唱成为抢眼的民族风情元素。影片实际上在讨论男性气质，把格鲁吉亚民族舞蹈的传统（事实上也是经过社会主义文艺改造的）定义为彰显（典型的）男性气质，压抑了其他的气质和不同的性向，同时也与格鲁吉亚社会（尤其是宗教）对LGBT人群的保守态度是一致的。影片用舞蹈段落来写人物关系和人物心理与情绪的方式非常精彩。
搪昂昂昂瓷,看过,推荐,2020-02-11 16:22:37,15,青春有太多的故事可以讲，即便爱情永远不是唯一的那一个，但也像是珍藏在小铁盒里没什么用的纪念品，攥在手心就能感受到温暖。忍不住的偷瞄、止不住的笑意、收到回复时的雨过天晴，都是珍贵的关于“喜欢”的小情绪。男主放开自我袒露真心的几段舞蹈都那么美，那是一种比“需要男子气概”“不允许软弱”更有骨气的力量。
身居地狱求杯水,看过,推荐,2019-07-19 00:22:33,10,故事确实弱了些，但是实在太喜欢前半部分两个男主之间的对手戏，不管是一个眼神、小动作或者只是两人独处时微妙的尴尬与悸动，都让人按耐不住，看完一周了想起来还觉得甜。导演调度也蛮好，舞蹈戏对应人物情感变化，耳朵和眼睛表示都很愉快。
康报虹,看过,还行,2020-02-24 13:56:21,6,"格鲁吉亚首部关注性少数群体的电影，尽管导演的语言表达非常隐晦，影片的上映还是引起了当地保守势力的抗议，大规模的反对游行在上映首日爆发。
最喜欢婚礼派对上梅拉布和伊拉克利重逢的那场戏。窗外是载歌载舞的热闹人群，屋内二人四目相对，他们相互吸引，但仍保持着审慎的距离——显然，二人都不打算坦诚面对自己的内心。当梅拉布试图侵入对方的空间，伊拉克利又敏感地让出半步，小心翼翼地维护着私人空间，最后相继走出镜头。这场戏中，景框内的人物侧对镜头，极力压抑着自己的情感，二人不想被观看的另一侧则透过两面镜子巧妙地照映在镜头中。导演为观众提供了一个不介入的中立视点来观察角色，我们都知道梅拉布和伊拉克利的隐秘想法，却看不到他们的未来——现实将格鲁吉亚的性少数群体囚禁在困倦的、醉酒的、意识不清的黑夜里。"
嘟嘟熊之父,看过,还行,2020-02-18 21:48:49,7,金星老师的前半生。男主角骚起来的样子太可爱了，真诚坦荡，半裸着在你面前跳舞怎么可能不弯！两次剪辑印象深刻，街头夜舞切至清晨面包出炉，夜店蹦迪切至男主呆坐街头。后半段剧本太紧绷了，各条线急于聚拢失掉了余味，好在结尾高光时刻看得人心潮澎湃。跳舞，只要音乐在响，就尽管跳下去，让所有人心悦诚服！
